Pick up: 188| Drop off: 24| Hour/Min/Sec: 0:0:00
Pick up: 27| Drop off: 45| Hour/Min/Sec: 3:7:00
Pick up: 185| Drop off: 27| Hour/Min/Sec: 3:7:00
Pick up: 187| Drop off: 110| Hour/Min/Sec: 3:7:00
Pick up: 105| Drop off: 174| Hour/Min/Sec: 3:7:00
Pick up: 80| Drop off: 93| Hour/Min/Sec: 3:8:00
Pick up: 113| Drop off: 139| Hour/Min/Sec: 3:8:00
Pick up: 191| Drop off: 111| Hour/Min/Sec: 3:8:00
Pick up: 193| Drop off: 89| Hour/Min/Sec: 3:9:00
Pick up: 126| Drop off: 11| Hour/Min/Sec: 3:10:00
Pick up: 133| Drop off: 20| Hour/Min/Sec: 3:10:00
Pick up: 10| Drop off: 66| Hour/Min/Sec: 3:10:00
Pick up: 191| Drop off: 197| Hour/Min/Sec: 3:11:00
Pick up: 20| Drop off: 50| Hour/Min/Sec: 3:11:00
Pick up: 64| Drop off: 48| Hour/Min/Sec: 3:12:00
Pick up: 14| Drop off: 84| Hour/Min/Sec: 3:12:00
Pick up: 113| Drop off: 154| Hour/Min/Sec: 3:13:00
Pick up: 131| Drop off: 32| Hour/Min/Sec: 3:13:00
Pick up: 179| Drop off: 69| Hour/Min/Sec: 3:17:00
Pick up: 84| Drop off: 173| Hour/Min/Sec: 3:17:00
Pick up: 73| Drop off: 30| Hour/Min/Sec: 3:17:00
Pick up: 57| Drop off: 96| Hour/Min/Sec: 3:17:00
Pick up: 166| Drop off: 89| Hour/Min/Sec: 3:18:00
Pick up: 120| Drop off: 193| Hour/Min/Sec: 3:18:00
Pick up: 97| Drop off: 17| Hour/Min/Sec: 3:18:00
Pick up: 1| Drop off: 187| Hour/Min/Sec: 3:18:00
Pick up: 76| Drop off: 159| Hour/Min/Sec: 3:18:00
Pick up: 167| Drop off: 93| Hour/Min/Sec: 3:18:00
Pick up: 102| Drop off: 54| Hour/Min/Sec: 3:19:00
Pick up: 191| Drop off: 176| Hour/Min/Sec: 3:19:00
Pick up: 103| Drop off: 41| Hour/Min/Sec: 3:19:00
Pick up: 105| Drop off: 41| Hour/Min/Sec: 3:19:00
Pick up: 58| Drop off: 147| Hour/Min/Sec: 3:20:00
Pick up: 158| Drop off: 18| Hour/Min/Sec: 3:21:00
Pick up: 114| Drop off: 146| Hour/Min/Sec: 3:21:00
Pick up: 195| Drop off: 108| Hour/Min/Sec: 3:22:00
Pick up: 77| Drop off: 80| Hour/Min/Sec: 3:22:00
Pick up: 3| Drop off: 32| Hour/Min/Sec: 3:22:00
Pick up: 15| Drop off: 68| Hour/Min/Sec: 3:23:00
Pick up: 188| Drop off: 138| Hour/Min/Sec: 3:23:00
Pick up: 33| Drop off: 39| Hour/Min/Sec: 3:23:00
Pick up: 130| Drop off: 131| Hour/Min/Sec: 3:24:00
Pick up: 141| Drop off: 11| Hour/Min/Sec: 3:26:00
Pick up: 46| Drop off: 44| Hour/Min/Sec: 3:26:00
Pick up: 119| Drop off: 81| Hour/Min/Sec: 3:28:00
Pick up: 27| Drop off: 186| Hour/Min/Sec: 3:29:00
Pick up: 86| Drop off: 151| Hour/Min/Sec: 3:30:00
Pick up: 111| Drop off: 133| Hour/Min/Sec: 3:30:00
Pick up: 114| Drop off: 9| Hour/Min/Sec: 3:31:00
Pick up: 103| Drop off: 148| Hour/Min/Sec: 3:32:00
Pick up: 173| Drop off: 12| Hour/Min/Sec: 3:32:00
Pick up: 91| Drop off: 104| Hour/Min/Sec: 3:33:00
Pick up: 15| Drop off: 197| Hour/Min/Sec: 3:33:00
Pick up: 109| Drop off: 167| Hour/Min/Sec: 3:34:00
Pick up: 104| Drop off: 154| Hour/Min/Sec: 3:35:00
Pick up: 117| Drop off: 155| Hour/Min/Sec: 3:35:00
Pick up: 45| Drop off: 7| Hour/Min/Sec: 3:35:00
Pick up: 9| Drop off: 155| Hour/Min/Sec: 3:35:00
Pick up: 5| Drop off: 6| Hour/Min/Sec: 3:36:00
Pick up: 52| Drop off: 170| Hour/Min/Sec: 3:36:00
Pick up: 160| Drop off: 46| Hour/Min/Sec: 3:37:00
Pick up: 27| Drop off: 20| Hour/Min/Sec: 3:37:00
Pick up: 54| Drop off: 81| Hour/Min/Sec: 3:38:00
Pick up: 118| Drop off: 12| Hour/Min/Sec: 3:38:00
Pick up: 69| Drop off: 176| Hour/Min/Sec: 3:39:00
Pick up: 33| Drop off: 26| Hour/Min/Sec: 3:39:00
Pick up: 162| Drop off: 190| Hour/Min/Sec: 3:39:00
Pick up: 187| Drop off: 192| Hour/Min/Sec: 3:39:00
Pick up: 4| Drop off: 28| Hour/Min/Sec: 3:40:00
Pick up: 4| Drop off: 130| Hour/Min/Sec: 3:40:00
Pick up: 110| Drop off: 23| Hour/Min/Sec: 3:41:00
Pick up: 142| Drop off: 156| Hour/Min/Sec: 3:41:00
Pick up: 10| Drop off: 156| Hour/Min/Sec: 3:42:00
Pick up: 125| Drop off: 170| Hour/Min/Sec: 3:43:00
Pick up: 92| Drop off: 158| Hour/Min/Sec: 3:43:00
Pick up: 198| Drop off: 165| Hour/Min/Sec: 3:44:00
Pick up: 26| Drop off: 14| Hour/Min/Sec: 3:44:00
Pick up: 106| Drop off: 112| Hour/Min/Sec: 3:44:00
Pick up: 65| Drop off: 36| Hour/Min/Sec: 3:44:00
Pick up: 106| Drop off: 65| Hour/Min/Sec: 3:44:00
Pick up: 178| Drop off: 9| Hour/Min/Sec: 3:46:00
Pick up: 27| Drop off: 167| Hour/Min/Sec: 3:46:00
Pick up: 151| Drop off: 18| Hour/Min/Sec: 3:48:00
Pick up: 41| Drop off: 152| Hour/Min/Sec: 3:48:00
Pick up: 166| Drop off: 189| Hour/Min/Sec: 3:48:00
Pick up: 198| Drop off: 118| Hour/Min/Sec: 3:48:00
Pick up: 176| Drop off: 0| Hour/Min/Sec: 3:49:00
Pick up: 36| Drop off: 150| Hour/Min/Sec: 3:49:00
Pick up: 55| Drop off: 154| Hour/Min/Sec: 3:50:00
Pick up: 29| Drop off: 12| Hour/Min/Sec: 3:51:00
Pick up: 26| Drop off: 67| Hour/Min/Sec: 3:54:00
Pick up: 187| Drop off: 149| Hour/Min/Sec: 3:55:00
Pick up: 38| Drop off: 141| Hour/Min/Sec: 3:55:00
Pick up: 98| Drop off: 120| Hour/Min/Sec: 3:56:00
Pick up: 76| Drop off: 1| Hour/Min/Sec: 3:57:00
Pick up: 104| Drop off: 15| Hour/Min/Sec: 3:57:00
Pick up: 14| Drop off: 84| Hour/Min/Sec: 3:57:00
Pick up: 85| Drop off: 108| Hour/Min/Sec: 3:57:00
Pick up: 25| Drop off: 57| Hour/Min/Sec: 3:58:00
Pick up: 154| Drop off: 187| Hour/Min/Sec: 3:58:00
Pick up: 73| Drop off: 187| Hour/Min/Sec: 3:59:00
Pick up: 33| Drop off: 101| Hour/Min/Sec: 3:59:00
Pick up: 195| Drop off: 193| Hour/Min/Sec: 4:0:00
Pick up: 63| Drop off: 141| Hour/Min/Sec: 4:0:00
Pick up: 137| Drop off: 45| Hour/Min/Sec: 4:1:00
Pick up: 4| Drop off: 76| Hour/Min/Sec: 4:1:00
Pick up: 108| Drop off: 154| Hour/Min/Sec: 4:1:00
Pick up: 122| Drop off: 44| Hour/Min/Sec: 4:2:00
Pick up: 116| Drop off: 115| Hour/Min/Sec: 4:2:00
Pick up: 159| Drop off: 7| Hour/Min/Sec: 4:3:00
Pick up: 154| Drop off: 126| Hour/Min/Sec: 4:3:00
Pick up: 189| Drop off: 146| Hour/Min/Sec: 4:3:00
Pick up: 56| Drop off: 35| Hour/Min/Sec: 4:4:00
Pick up: 7| Drop off: 12| Hour/Min/Sec: 4:4:00
Pick up: 58| Drop off: 161| Hour/Min/Sec: 4:5:00
Pick up: 88| Drop off: 148| Hour/Min/Sec: 4:5:00
Pick up: 101| Drop off: 92| Hour/Min/Sec: 4:5:00
Pick up: 126| Drop off: 80| Hour/Min/Sec: 4:5:00
Pick up: 126| Drop off: 127| Hour/Min/Sec: 4:6:00
Pick up: 179| Drop off: 179| Hour/Min/Sec: 4:6:00
Pick up: 120| Drop off: 20| Hour/Min/Sec: 4:6:00
Pick up: 38| Drop off: 167| Hour/Min/Sec: 4:6:00
Pick up: 54| Drop off: 57| Hour/Min/Sec: 4:7:00
Pick up: 40| Drop off: 108| Hour/Min/Sec: 4:8:00
Pick up: 85| Drop off: 68| Hour/Min/Sec: 4:8:00
Pick up: 82| Drop off: 162| Hour/Min/Sec: 4:9:00
Pick up: 72| Drop off: 120| Hour/Min/Sec: 4:9:00
Pick up: 63| Drop off: 137| Hour/Min/Sec: 4:9:00
Pick up: 104| Drop off: 172| Hour/Min/Sec: 4:10:00
Pick up: 155| Drop off: 126| Hour/Min/Sec: 4:10:00
Pick up: 48| Drop off: 161| Hour/Min/Sec: 4:10:00
Pick up: 161| Drop off: 81| Hour/Min/Sec: 4:10:00
Pick up: 112| Drop off: 10| Hour/Min/Sec: 4:11:00
Pick up: 112| Drop off: 0| Hour/Min/Sec: 4:11:00
Pick up: 161| Drop off: 37| Hour/Min/Sec: 4:11:00
Pick up: 0| Drop off: 138| Hour/Min/Sec: 4:11:00
Pick up: 13| Drop off: 58| Hour/Min/Sec: 4:12:00
Pick up: 5| Drop off: 6| Hour/Min/Sec: 4:12:00
Pick up: 20| Drop off: 180| Hour/Min/Sec: 4:13:00
Pick up: 119| Drop off: 193| Hour/Min/Sec: 4:13:00
Pick up: 163| Drop off: 110| Hour/Min/Sec: 4:14:00
Pick up: 100| Drop off: 179| Hour/Min/Sec: 4:14:00
Pick up: 76| Drop off: 36| Hour/Min/Sec: 4:14:00
Pick up: 128| Drop off: 38| Hour/Min/Sec: 4:16:00
Pick up: 112| Drop off: 116| Hour/Min/Sec: 4:16:00
Pick up: 61| Drop off: 14| Hour/Min/Sec: 4:17:00
Pick up: 77| Drop off: 195| Hour/Min/Sec: 4:17:00
Pick up: 68| Drop off: 194| Hour/Min/Sec: 4:17:00
Pick up: 91| Drop off: 185| Hour/Min/Sec: 4:17:00
Pick up: 13| Drop off: 149| Hour/Min/Sec: 4:19:00
Pick up: 158| Drop off: 196| Hour/Min/Sec: 4:19:00
Pick up: 136| Drop off: 149| Hour/Min/Sec: 4:20:00
Pick up: 67| Drop off: 199| Hour/Min/Sec: 4:21:00
Pick up: 27| Drop off: 114| Hour/Min/Sec: 4:21:00
Pick up: 139| Drop off: 138| Hour/Min/Sec: 4:21:00
Pick up: 114| Drop off: 108| Hour/Min/Sec: 4:21:00
Pick up: 197| Drop off: 169| Hour/Min/Sec: 4:22:00
Pick up: 14| Drop off: 77| Hour/Min/Sec: 4:22:00
Pick up: 100| Drop off: 11| Hour/Min/Sec: 4:22:00
Pick up: 35| Drop off: 81| Hour/Min/Sec: 4:23:00
Pick up: 115| Drop off: 151| Hour/Min/Sec: 4:23:00
Pick up: 44| Drop off: 158| Hour/Min/Sec: 4:23:00
Pick up: 159| Drop off: 155| Hour/Min/Sec: 4:24:00
Pick up: 36| Drop off: 162| Hour/Min/Sec: 4:24:00
Pick up: 128| Drop off: 135| Hour/Min/Sec: 4:24:00
Pick up: 9| Drop off: 6| Hour/Min/Sec: 4:25:00
Pick up: 169| Drop off: 9| Hour/Min/Sec: 4:26:00
Pick up: 115| Drop off: 183| Hour/Min/Sec: 4:27:00
Pick up: 21| Drop off: 135| Hour/Min/Sec: 4:28:00
Pick up: 197| Drop off: 62| Hour/Min/Sec: 4:29:00
Pick up: 132| Drop off: 41| Hour/Min/Sec: 4:29:00
Pick up: 135| Drop off: 80| Hour/Min/Sec: 4:29:00
Pick up: 134| Drop off: 57| Hour/Min/Sec: 4:30:00
Pick up: 62| Drop off: 143| Hour/Min/Sec: 4:30:00
Pick up: 188| Drop off: 171| Hour/Min/Sec: 4:31:00
Pick up: 179| Drop off: 40| Hour/Min/Sec: 4:31:00
Pick up: 25| Drop off: 194| Hour/Min/Sec: 4:31:00
Pick up: 145| Drop off: 105| Hour/Min/Sec: 4:32:00
Pick up: 172| Drop off: 92| Hour/Min/Sec: 4:32:00
Pick up: 121| Drop off: 119| Hour/Min/Sec: 4:33:00
Pick up: 67| Drop off: 121| Hour/Min/Sec: 4:33:00
Pick up: 63| Drop off: 34| Hour/Min/Sec: 4:33:00
Pick up: 151| Drop off: 46| Hour/Min/Sec: 4:33:00
Pick up: 15| Drop off: 136| Hour/Min/Sec: 4:34:00
Pick up: 89| Drop off: 134| Hour/Min/Sec: 4:34:00
Pick up: 151| Drop off: 71| Hour/Min/Sec: 4:34:00
Pick up: 188| Drop off: 62| Hour/Min/Sec: 4:34:00
Pick up: 88| Drop off: 162| Hour/Min/Sec: 4:35:00
Pick up: 70| Drop off: 16| Hour/Min/Sec: 4:36:00
Pick up: 63| Drop off: 146| Hour/Min/Sec: 4:36:00
Pick up: 40| Drop off: 158| Hour/Min/Sec: 4:36:00
Pick up: 23| Drop off: 106| Hour/Min/Sec: 4:37:00
Pick up: 169| Drop off: 3| Hour/Min/Sec: 4:37:00
Pick up: 92| Drop off: 95| Hour/Min/Sec: 4:37:00
Pick up: 2| Drop off: 85| Hour/Min/Sec: 4:39:00
Pick up: 112| Drop off: 21| Hour/Min/Sec: 4:39:00
Pick up: 81| Drop off: 137| Hour/Min/Sec: 4:40:00
Pick up: 57| Drop off: 87| Hour/Min/Sec: 4:40:00
Pick up: 26| Drop off: 175| Hour/Min/Sec: 4:41:00
Pick up: 86| Drop off: 48| Hour/Min/Sec: 4:42:00
Pick up: 16| Drop off: 1| Hour/Min/Sec: 4:42:00
Pick up: 188| Drop off: 44| Hour/Min/Sec: 4:43:00
Pick up: 6| Drop off: 66| Hour/Min/Sec: 4:43:00
Pick up: 8| Drop off: 194| Hour/Min/Sec: 4:43:00
Pick up: 22| Drop off: 98| Hour/Min/Sec: 4:44:00
Pick up: 28| Drop off: 104| Hour/Min/Sec: 4:44:00
Pick up: 176| Drop off: 117| Hour/Min/Sec: 4:44:00
Pick up: 126| Drop off: 84| Hour/Min/Sec: 4:44:00
Pick up: 178| Drop off: 177| Hour/Min/Sec: 4:44:00
Pick up: 129| Drop off: 19| Hour/Min/Sec: 4:45:00
Pick up: 84| Drop off: 66| Hour/Min/Sec: 4:45:00
Pick up: 198| Drop off: 64| Hour/Min/Sec: 4:46:00
Pick up: 49| Drop off: 102| Hour/Min/Sec: 4:46:00
Pick up: 141| Drop off: 165| Hour/Min/Sec: 4:46:00
Pick up: 63| Drop off: 0| Hour/Min/Sec: 4:47:00
Pick up: 30| Drop off: 43| Hour/Min/Sec: 4:48:00
Pick up: 120| Drop off: 114| Hour/Min/Sec: 4:49:00
Pick up: 5| Drop off: 145| Hour/Min/Sec: 4:49:00
Pick up: 83| Drop off: 131| Hour/Min/Sec: 4:49:00
Pick up: 122| Drop off: 127| Hour/Min/Sec: 4:49:00
Pick up: 156| Drop off: 98| Hour/Min/Sec: 4:49:00
Pick up: 198| Drop off: 27| Hour/Min/Sec: 4:49:00
Pick up: 9| Drop off: 176| Hour/Min/Sec: 4:50:00
Pick up: 68| Drop off: 167| Hour/Min/Sec: 4:50:00
Pick up: 82| Drop off: 57| Hour/Min/Sec: 4:51:00
Pick up: 27| Drop off: 46| Hour/Min/Sec: 4:51:00
Pick up: 178| Drop off: 49| Hour/Min/Sec: 4:53:00
Pick up: 133| Drop off: 52| Hour/Min/Sec: 4:53:00
Pick up: 95| Drop off: 155| Hour/Min/Sec: 4:53:00
Pick up: 50| Drop off: 13| Hour/Min/Sec: 4:53:00
Pick up: 180| Drop off: 196| Hour/Min/Sec: 4:54:00
Pick up: 13| Drop off: 142| Hour/Min/Sec: 4:55:00
Pick up: 93| Drop off: 89| Hour/Min/Sec: 4:55:00
Pick up: 63| Drop off: 94| Hour/Min/Sec: 4:55:00
Pick up: 111| Drop off: 82| Hour/Min/Sec: 4:55:00
Pick up: 31| Drop off: 172| Hour/Min/Sec: 4:56:00
Pick up: 52| Drop off: 59| Hour/Min/Sec: 4:56:00
Pick up: 117| Drop off: 82| Hour/Min/Sec: 4:56:00
Pick up: 32| Drop off: 190| Hour/Min/Sec: 4:57:00
Pick up: 93| Drop off: 47| Hour/Min/Sec: 4:57:00
Pick up: 154| Drop off: 39| Hour/Min/Sec: 4:58:00
Pick up: 9| Drop off: 127| Hour/Min/Sec: 4:58:00
Pick up: 164| Drop off: 167| Hour/Min/Sec: 4:59:00
Pick up: 135| Drop off: 60| Hour/Min/Sec: 4:59:00
Pick up: 42| Drop off: 189| Hour/Min/Sec: 4:59:00
Pick up: 139| Drop off: 34| Hour/Min/Sec: 5:0:00
Pick up: 90| Drop off: 169| Hour/Min/Sec: 5:0:00
Pick up: 181| Drop off: 140| Hour/Min/Sec: 5:0:00
Pick up: 103| Drop off: 62| Hour/Min/Sec: 5:1:00
Pick up: 114| Drop off: 106| Hour/Min/Sec: 5:1:00
Pick up: 162| Drop off: 12| Hour/Min/Sec: 5:1:00
Pick up: 38| Drop off: 113| Hour/Min/Sec: 5:1:00
Pick up: 82| Drop off: 29| Hour/Min/Sec: 5:2:00
Pick up: 112| Drop off: 17| Hour/Min/Sec: 5:2:00
Pick up: 18| Drop off: 47| Hour/Min/Sec: 5:3:00
Pick up: 1| Drop off: 57| Hour/Min/Sec: 5:3:00
Pick up: 178| Drop off: 28| Hour/Min/Sec: 5:3:00
Pick up: 100| Drop off: 134| Hour/Min/Sec: 5:3:00
Pick up: 141| Drop off: 23| Hour/Min/Sec: 5:4:00
Pick up: 85| Drop off: 95| Hour/Min/Sec: 5:4:00
Pick up: 90| Drop off: 7| Hour/Min/Sec: 5:4:00
Pick up: 76| Drop off: 145| Hour/Min/Sec: 5:4:00
Pick up: 111| Drop off: 60| Hour/Min/Sec: 5:5:00
Pick up: 141| Drop off: 195| Hour/Min/Sec: 5:6:00
Pick up: 2| Drop off: 23| Hour/Min/Sec: 5:6:00
Pick up: 75| Drop off: 150| Hour/Min/Sec: 5:7:00
Pick up: 183| Drop off: 152| Hour/Min/Sec: 5:8:00
Pick up: 30| Drop off: 155| Hour/Min/Sec: 5:8:00
Pick up: 125| Drop off: 104| Hour/Min/Sec: 5:8:00
Pick up: 8| Drop off: 195| Hour/Min/Sec: 5:9:00
Pick up: 81| Drop off: 171| Hour/Min/Sec: 5:10:00
Pick up: 50| Drop off: 100| Hour/Min/Sec: 5:11:00
Pick up: 196| Drop off: 38| Hour/Min/Sec: 5:11:00
Pick up: 7| Drop off: 194| Hour/Min/Sec: 5:11:00
Pick up: 27| Drop off: 174| Hour/Min/Sec: 5:11:00
Pick up: 45| Drop off: 148| Hour/Min/Sec: 5:12:00
Pick up: 187| Drop off: 34| Hour/Min/Sec: 5:13:00
Pick up: 17| Drop off: 102| Hour/Min/Sec: 5:13:00
Pick up: 10| Drop off: 158| Hour/Min/Sec: 5:13:00
Pick up: 118| Drop off: 137| Hour/Min/Sec: 5:16:00
Pick up: 162| Drop off: 115| Hour/Min/Sec: 5:16:00
Pick up: 195| Drop off: 5| Hour/Min/Sec: 5:17:00
Pick up: 52| Drop off: 7| Hour/Min/Sec: 5:18:00
Pick up: 25| Drop off: 68| Hour/Min/Sec: 5:19:00
Pick up: 120| Drop off: 48| Hour/Min/Sec: 5:20:00
Pick up: 170| Drop off: 75| Hour/Min/Sec: 5:20:00
Pick up: 62| Drop off: 56| Hour/Min/Sec: 5:20:00
Pick up: 32| Drop off: 28| Hour/Min/Sec: 5:21:00
Pick up: 109| Drop off: 32| Hour/Min/Sec: 5:22:00
Pick up: 175| Drop off: 17| Hour/Min/Sec: 5:23:00
Pick up: 183| Drop off: 91| Hour/Min/Sec: 5:23:00
Pick up: 108| Drop off: 32| Hour/Min/Sec: 5:23:00
Pick up: 7| Drop off: 180| Hour/Min/Sec: 5:24:00
Pick up: 5| Drop off: 35| Hour/Min/Sec: 5:24:00
Pick up: 57| Drop off: 197| Hour/Min/Sec: 5:24:00
Pick up: 163| Drop off: 194| Hour/Min/Sec: 5:25:00
Pick up: 182| Drop off: 53| Hour/Min/Sec: 5:25:00
Pick up: 108| Drop off: 163| Hour/Min/Sec: 5:26:00
Pick up: 170| Drop off: 11| Hour/Min/Sec: 5:26:00
Pick up: 99| Drop off: 64| Hour/Min/Sec: 5:26:00
Pick up: 140| Drop off: 23| Hour/Min/Sec: 5:27:00
Pick up: 29| Drop off: 155| Hour/Min/Sec: 5:28:00
Pick up: 59| Drop off: 192| Hour/Min/Sec: 5:28:00
Pick up: 78| Drop off: 23| Hour/Min/Sec: 5:28:00
Pick up: 12| Drop off: 115| Hour/Min/Sec: 5:29:00
Pick up: 173| Drop off: 63| Hour/Min/Sec: 5:30:00
Pick up: 184| Drop off: 165| Hour/Min/Sec: 5:30:00
Pick up: 182| Drop off: 137| Hour/Min/Sec: 5:30:00
Pick up: 173| Drop off: 136| Hour/Min/Sec: 5:31:00
Pick up: 21| Drop off: 188| Hour/Min/Sec: 5:31:00
Pick up: 138| Drop off: 91| Hour/Min/Sec: 5:32:00
Pick up: 170| Drop off: 35| Hour/Min/Sec: 5:32:00
Pick up: 43| Drop off: 79| Hour/Min/Sec: 5:32:00
Pick up: 32| Drop off: 157| Hour/Min/Sec: 5:33:00
Pick up: 107| Drop off: 189| Hour/Min/Sec: 5:33:00
Pick up: 142| Drop off: 168| Hour/Min/Sec: 5:33:00
Pick up: 131| Drop off: 55| Hour/Min/Sec: 5:35:00
Pick up: 66| Drop off: 123| Hour/Min/Sec: 5:35:00
Pick up: 24| Drop off: 82| Hour/Min/Sec: 5:35:00
Pick up: 62| Drop off: 191| Hour/Min/Sec: 5:35:00
Pick up: 90| Drop off: 2| Hour/Min/Sec: 5:35:00
Pick up: 148| Drop off: 136| Hour/Min/Sec: 5:36:00
Pick up: 130| Drop off: 138| Hour/Min/Sec: 5:38:00
Pick up: 19| Drop off: 29| Hour/Min/Sec: 5:38:00
Pick up: 98| Drop off: 59| Hour/Min/Sec: 5:39:00
Pick up: 142| Drop off: 19| Hour/Min/Sec: 5:39:00
Pick up: 113| Drop off: 173| Hour/Min/Sec: 5:40:00
Pick up: 18| Drop off: 48| Hour/Min/Sec: 5:40:00
Pick up: 108| Drop off: 195| Hour/Min/Sec: 5:41:00
Pick up: 138| Drop off: 7| Hour/Min/Sec: 5:41:00
Pick up: 33| Drop off: 27| Hour/Min/Sec: 5:41:00
Pick up: 174| Drop off: 176| Hour/Min/Sec: 5:43:00
Pick up: 23| Drop off: 156| Hour/Min/Sec: 5:43:00
Pick up: 104| Drop off: 190| Hour/Min/Sec: 5:44:00
Pick up: 88| Drop off: 143| Hour/Min/Sec: 5:44:00
Pick up: 80| Drop off: 5| Hour/Min/Sec: 5:45:00
Pick up: 165| Drop off: 138| Hour/Min/Sec: 5:46:00
Pick up: 3| Drop off: 65| Hour/Min/Sec: 5:48:00
Pick up: 36| Drop off: 56| Hour/Min/Sec: 5:48:00
Pick up: 98| Drop off: 178| Hour/Min/Sec: 5:48:00
Pick up: 56| Drop off: 148| Hour/Min/Sec: 5:49:00
Pick up: 133| Drop off: 98| Hour/Min/Sec: 5:49:00
Pick up: 111| Drop off: 25| Hour/Min/Sec: 5:50:00
Pick up: 99| Drop off: 51| Hour/Min/Sec: 5:50:00
Pick up: 186| Drop off: 179| Hour/Min/Sec: 5:50:00
Pick up: 151| Drop off: 178| Hour/Min/Sec: 5:50:00
Pick up: 155| Drop off: 24| Hour/Min/Sec: 5:50:00
Pick up: 10| Drop off: 176| Hour/Min/Sec: 5:51:00
Pick up: 108| Drop off: 67| Hour/Min/Sec: 5:51:00
Pick up: 37| Drop off: 33| Hour/Min/Sec: 5:52:00
Pick up: 78| Drop off: 8| Hour/Min/Sec: 5:52:00
Pick up: 178| Drop off: 87| Hour/Min/Sec: 5:53:00
Pick up: 53| Drop off: 71| Hour/Min/Sec: 5:54:00
Pick up: 11| Drop off: 171| Hour/Min/Sec: 5:54:00
Pick up: 188| Drop off: 129| Hour/Min/Sec: 5:55:00
Pick up: 127| Drop off: 193| Hour/Min/Sec: 5:55:00
Pick up: 108| Drop off: 0| Hour/Min/Sec: 5:56:00
Pick up: 171| Drop off: 22| Hour/Min/Sec: 5:57:00
Pick up: 51| Drop off: 109| Hour/Min/Sec: 5:58:00
Pick up: 20| Drop off: 47| Hour/Min/Sec: 5:59:00
Pick up: 39| Drop off: 184| Hour/Min/Sec: 5:59:00
Pick up: 45| Drop off: 189| Hour/Min/Sec: 6:0:00
Pick up: 1| Drop off: 25| Hour/Min/Sec: 6:0:00
Pick up: 131| Drop off: 95| Hour/Min/Sec: 6:3:00
Pick up: 142| Drop off: 20| Hour/Min/Sec: 6:3:00
Pick up: 137| Drop off: 90| Hour/Min/Sec: 6:3:00
Pick up: 39| Drop off: 152| Hour/Min/Sec: 6:3:00
Pick up: 56| Drop off: 44| Hour/Min/Sec: 6:4:00
Pick up: 184| Drop off: 158| Hour/Min/Sec: 6:5:00
Pick up: 164| Drop off: 50| Hour/Min/Sec: 6:5:00
Pick up: 140| Drop off: 63| Hour/Min/Sec: 6:6:00
Pick up: 96| Drop off: 156| Hour/Min/Sec: 6:6:00
Pick up: 132| Drop off: 106| Hour/Min/Sec: 6:7:00
Pick up: 118| Drop off: 121| Hour/Min/Sec: 6:7:00
Pick up: 44| Drop off: 67| Hour/Min/Sec: 6:7:00
Pick up: 122| Drop off: 146| Hour/Min/Sec: 6:7:00
Pick up: 116| Drop off: 96| Hour/Min/Sec: 6:8:00
Pick up: 4| Drop off: 159| Hour/Min/Sec: 6:9:00
Pick up: 171| Drop off: 90| Hour/Min/Sec: 6:10:00
Pick up: 139| Drop off: 74| Hour/Min/Sec: 6:11:00
Pick up: 186| Drop off: 107| Hour/Min/Sec: 6:14:00
Pick up: 86| Drop off: 11| Hour/Min/Sec: 6:15:00
Pick up: 172| Drop off: 61| Hour/Min/Sec: 6:15:00
Pick up: 171| Drop off: 51| Hour/Min/Sec: 6:16:00
Pick up: 38| Drop off: 92| Hour/Min/Sec: 6:16:00
Pick up: 176| Drop off: 10| Hour/Min/Sec: 6:17:00
Pick up: 70| Drop off: 36| Hour/Min/Sec: 6:17:00
Pick up: 122| Drop off: 179| Hour/Min/Sec: 6:17:00
Pick up: 159| Drop off: 101| Hour/Min/Sec: 6:18:00
Pick up: 38| Drop off: 89| Hour/Min/Sec: 6:18:00
Pick up: 156| Drop off: 63| Hour/Min/Sec: 6:18:00
Pick up: 127| Drop off: 128| Hour/Min/Sec: 6:18:00
Pick up: 166| Drop off: 54| Hour/Min/Sec: 6:19:00
Pick up: 118| Drop off: 29| Hour/Min/Sec: 6:19:00
Pick up: 105| Drop off: 137| Hour/Min/Sec: 6:20:00
Pick up: 52| Drop off: 199| Hour/Min/Sec: 6:21:00
Pick up: 145| Drop off: 120| Hour/Min/Sec: 6:21:00
Pick up: 104| Drop off: 176| Hour/Min/Sec: 6:22:00
Pick up: 64| Drop off: 40| Hour/Min/Sec: 6:23:00
Pick up: 150| Drop off: 121| Hour/Min/Sec: 6:23:00
Pick up: 75| Drop off: 9| Hour/Min/Sec: 6:23:00
Pick up: 102| Drop off: 120| Hour/Min/Sec: 6:23:00
Pick up: 42| Drop off: 13| Hour/Min/Sec: 6:24:00
Pick up: 44| Drop off: 71| Hour/Min/Sec: 6:24:00
Pick up: 31| Drop off: 56| Hour/Min/Sec: 6:25:00
Pick up: 143| Drop off: 137| Hour/Min/Sec: 6:25:00
Pick up: 75| Drop off: 146| Hour/Min/Sec: 6:26:00
Pick up: 196| Drop off: 199| Hour/Min/Sec: 6:26:00
Pick up: 35| Drop off: 11| Hour/Min/Sec: 6:26:00
Pick up: 46| Drop off: 13| Hour/Min/Sec: 6:26:00
Pick up: 95| Drop off: 70| Hour/Min/Sec: 6:27:00
